bigg_id	smiles	mol_weight	xlogp	hbond_acceptor	hbond_donor	tpsa	ring_count	formal_charge
HC02205		334.4	3.3	4	2	74.6	0	0
HC02203		334.4	3.6	4	2	74.6	0	0
HC02202		335.5	5.0	4	1	77.4	0	0
HC02207		334.4	3.3	4	2	74.6	0	0
HC02206		335.5	4.7	4	1	77.4	0	0
HC02213		350.4	2.3	5	3	94.8	0	0
HC02217		368.5	3.8	6	2	85.2	0	0
HC02228		238.41	6.9	1	0	17.1	0	0
Lcyst		168.15	-3.8	6	2	129.0	0	0
Lhcystin		268.4	-5.6	8	4	177.0	0	0
M00003		268.4	6.9	2	1	37.3	0	0
M00008		308.5	7.9	2	1	37.3	0	0
M00010		306.5	6.9	2	1	37.3	0	0
M00017		310.5	7.6	2	1	37.3	0	0
M00019		282.5	7.2	2	1	37.3	0	0
M00021		336.6	8.0	2	1	37.3	0	0
M00115		282.5	6.5	2	1	37.3	0	0
M00127		282.5	6.5	2	1	37.3	0	0
M00117		226.35	5.4	2	1	37.3	0	0
M00129		971.8	-0.7	22	5	400.0	0	0
M00245		162.21	0.8	4	2	82.8	0	0
M00260		332.5	7.3	2	1	37.3	0	0
M00263		477.7	8.7	4	0	66.4	0	0
M00315		360.6	8.4	2	1	37.3	0	0
M00285		330.5	2.4	3	1	54.4	0	0
M00406		348.5	2.6	4	3	77.8	0	0
M00429		362.5	0.7	5	3	94.8	0	0
M00579		418.7	5.6	3	3	60.7	0	0
M00603		346.5	1.7	4	2	74.6	0	0
M00605		332.5	3.6	3	2	57.5	0	0
M00606		402.7	7.0	2	2	40.5	0	0
M00658		821.3	19.8	3	2	49.7	0	0
M00625		402.7	7.1	2	2	40.5	0	0
M00673		135.16	0.5	1	1	43.1	0	0
M00746		450.7	3.8	5	4	98.0	0	0
M00770		851.3	19.8	4	3	69.9	0	0
M00753		434.7	5.2	4	3	77.8	0	0
M00937		440.7	7.4	2	1	37.3	0	0
M00939		442.7	7.5	2	2	40.5	0	0
M00938		442.7	7.8	2	1	37.3	0	0
M00940		444.7	8.0	2	2	40.5	0	0
M00942		412.7	8.2	1	1	20.2	0	0
M00960		414.7	7.7	2	1	37.3	0	0
M00964		416.7	7.8	2	2	40.5	0	0
M00977		432.6	4.6	4	3	77.8	0	0
M00978		416.6	5.8	3	2	57.5	0	0
M00979		416.6	5.9	3	2	57.5	0	0
M01067		382.6	7.1	1	0	17.1	0	0
M01068		384.6	7.6	1	0	17.1	0	0
M01075		286.4	2.9	2	0	34.1	0	0
M01076		452.7	3.9	5	5	101.0	0	0
M01077		436.7	5.1	4	4	80.9	0	0
M01079		436.7	5.3	4	4	80.9	0	0
M01081		418.7	6.1	3	2	57.5	0	0
M01080		420.7	6.5	3	3	60.7	0	0
M01084		418.7	6.2	3	2	57.5	0	0
M01083		418.7	6.1	3	2	57.5	0	0
M01197		254.41	6.4	2	1	37.3	0	0
M01165		835.3	20.2	3	2	49.7	0	0
M01207		308.5	7.9	2	1	37.3	0	0
M01235		310.5	7.6	2	1	37.3	0	0
M01454		637.1	16.1	2	0	26.3	0	0
M01238		268.4	6.9	2	1	37.3	0	0
M01456		677.1	17.0	2	0	26.3	0	0
M01389		260.14	-4.2	9	6	157.0	0	0
M01458		679.2	17.7	2	0	26.3	0	0
M01461		705.2	18.1	2	0	26.3	0	0
M01462		707.2	18.8	2	0	26.3	0	0
M01466		697.1	15.5	2	0	26.3	0	0
M01457		221.32	-1.4	4	2	74.8	0	0
M01468		671.1	14.9	2	0	26.3	0	0
M01464		326.8	3.1	3	1	30.9	0	0
M01475		699.1	16.0	2	0	26.3	0	0
M01476		701.2	16.7	2	0	26.3	0	0
M01471		102.09	-1.5	3	2	64.4	0	0
M01481		305.4	3.6	3	2	58.6	0	0
M01495		639.1	17.0	2	0	26.3	0	0
M01492		681.2	18.6	2	0	26.3	0	0
M01490		675.1	16.3	2	0	26.3	0	0
M01491		709.2	19.7	2	0	26.3	0	0
M01487		595.0	14.4	2	0	26.3	0	0
M01498		569.0	14.3	2	0	26.3	0	0
M01501		597.0	15.4	2	0	26.3	0	0
M01506		611.0	15.9	2	0	26.3	0	0
M01502		667.1	18.1	2	0	26.3	0	0
M01582		338.6	8.7	2	1	37.3	0	0
M01724		483.8	11.0	4	0	66.4	0	0
M01729		343.5	5.5	4	0	66.4	0	0
M01989		449.6	4.3	5	4	107.0	0	0
M01966		340.12	-5.6	12	7	211.0	0	0
M02053		326.6	9.1	2	1	37.3	0	0
M02108		130.18	2.5	2	1	37.3	0	0
M02155		392.6	4.9	4	3	77.8	0	0
M02052		505.0	0.0	4	2	68.5	0	0
M02451		666.6	-9.3	21	14	356.0	0	0
M02457		306.5	7.0	2	1	37.3	0	0
M02467		129.16	-1.3	1	3	91.5	0	0
M02449		828.7	-11.5	26	17	435.0	0	0
M02446		1153.0	-15.8	36	23	593.0	0	0
M02447		990.9	-13.6	31	20	514.0	0	0
M02611		441.7	9.3	4	0	66.4	0	0
M02612		1048.0	3.3	22	9	389.0	0	0
M02613		298.5	8.0	2	1	37.3	0	0
M02637		421.6	7.8	4	0	66.4	0	0
M02745		226.35	5.1	2	1	37.3	0	0
M02490		249.72	-1.7	4	2	88.8	0	0
M02694		851.7	-4.2	22	9	389.0	0	0
M02760		314.5	3.9	2	0	34.1	0	0
M02758		89.14	-0.4	2	1	23.5	0	0
M02761		330.5	2.9	3	1	54.4	0	0
M02837		524.9	13.6	2	0	26.3	0	0
M02973		371.6	6.6	4	0	66.4	0	0
M02977		466.6	3.9	6	5	118.0	0	0
M02956		165.62	0.0	3	2	38.3	0	0
M03006		215.25	-1.7	5	2	89.6	0	0
M03045		354.6	10.2	2	1	37.3	0	0
